T_REC,NOAA_ARS,HARPNUM,MTOT,USFLUX,LON_MAX,LON_MIN,LAT_MAX,LAT_MIN,SIZE,LON,LAT,NormF,NormS
2012.03.14_01:00:00_TAI,11435,1471,285138.90625,2.980497e+20,-18.083298,-22.238943,-25.519386,-27.465176,485.973633,-20.1611205,-26.492281,0.017759320300880906,0.10526776718352494
2012.03.14_02:00:00_TAI,11435,1471,267798.6875,3.131888e+20,-17.645964,-21.537683,-25.629467,-27.453461,429.825836,-19.5918235,-26.541464,0.01866138504366396,0.09310547519665943
2012.03.14_03:00:00_TAI,11435,1471,249851.40625,2.425696e+20,-17.407412,-20.684153,-25.7453,-27.43919,343.497437,-19.0457825,-26.592245,0.014453533157914807,0.07440569975584155
2012.03.14_04:00:00_TAI,11435,1471,234058.703125,2.214077e+20,-16.90802,-20.084127,-25.799881,-27.402561,318.681854,-18.4960735,-26.601221,0.013192599292605727,0.0690303443118818
2012.03.14_05:00:00_TAI,11435,1471,230047.796875,1.87914e+20,-16.234316,-19.512657,-25.863998,-27.418167,327.761536,-17.8734865,-26.6410825,0.011196873927468253,0.07099711325976923
2012.03.14_06:00:00_TAI,11435,1471,221990.5,1.833004e+20,-15.623879,-18.911932,-25.848501,-27.438164,327.352417,-17.2679055,-26.6433325,0.010921972123708195,0.07090849313571745
2012.03.14_09:00:00_TAI,11435,1471,469945.09375,5.349879e+20,-10.026595,-17.267815,-24.450401,-27.483574,568.265503,-13.647205,-25.966987500000002,0.03187730594325592,0.12309318161759754
2012.03.14_10:00:00_TAI,11435,1471,516974.1875,3.873241e+20,-9.297275,-16.748014,-24.35881,-27.489717,691.433533,-13.022644500000002,-25.9242635,0.02307874408915837,0.1497728667405421
2012.03.14_11:00:00_TAI,11435,1471,564980.6875,4.072716e+20,-8.537269,-16.199003,-24.215815,-27.479069,818.06134,-12.368136,-25.847442,0.024267317812607252,0.17720198141071256
2012.03.14_12:00:00_TAI,11435,1471,563396.125,3.633515e+20,-7.962566,-15.638108,-24.19039,-27.458836,857.013184,-11.800337,-25.824613,0.02165033439156466,0.18563942197770106
2012.03.14_13:00:00_TAI,11435,1471,580979.875,3.897359e+20,-7.335066,-15.043178,-24.16715,-27.439383,879.769043,-11.189122,-25.8032665,0.023222451426228884,0.19056861628909927
2012.03.14_14:00:00_TAI,11435,1471,606432.125,4.086822e+20,-6.769362,-14.450644,-24.176315,-27.420137,872.703674,-10.610003,-25.798226,0.0243513685505091,0.18903817190188762
2012.03.14_15:00:00_TAI,11435,1471,671266.8125,4.481063e+20,-5.901501,-13.541209,-24.121197,-27.366297,982.450806,-9.721354999999999,-25.743747,0.026700457375204975,0.21281072818054397
2012.03.14_16:00:00_TAI,11435,1471,700852.0,4.834714e+20,-5.144536,-12.948832,-24.0406,-27.349249,1063.244507,-9.046683999999999,-25.6949245,0.028807690290965943,0.2303116210875535
2012.03.14_17:00:00_TAI,11435,1471,741722.3125,4.962226e+20,-4.44413,-12.326119,-23.98741,-27.330036,1097.918823,-8.3851245,-25.658723000000002,0.029567471780498036,0.23782249734930316
2012.03.14_18:00:00_TAI,11435,1471,797050.3125,4.946074e+20,-3.647493,-11.736417,-23.869896,-27.310064,1183.626465,-7.691955,-25.58998,0.029471229931739312,0.2563878093153228
2012.03.14_20:00:00_TAI,11435,1471,940168.625,7.824531e+20,-1.994902,-10.436907,-23.63578,-27.207767,1406.77832,-6.2159045,-25.4217735,0.04662254390229951,0.30472520032499445
2012.03.14_21:00:00_TAI,11435,1471,897386.6875,7.667288e+20,-1.36435,-8.384624,-23.640352,-26.615435,1306.332397,-4.874487,-25.1278935,0.045685609960721504,0.2829673984219882
2012.03.14_22:00:00_TAI,11435,1471,959594.375,8.179146e+20,-0.637038,-7.996552,-23.617868,-26.722012,1441.425659,-4.316795,-25.16994,0.048735520821416314,0.31223023304223385
2012.03.14_23:00:00_TAI,11435,1471,1007659.125,8.931426e+20,0.022932,-7.882211,-23.622028,-26.939875,1587.013916,-3.9296395,-25.2809515,0.05321798850245967,0.3437664105256143
2012.03.15_00:00:00_TAI,11435,1471,1059477.5,1.032995e+21,0.59075,-7.374935,-23.62476,-26.977432,1628.611572,-3.3920925,-25.301096,0.06155110732944362,0.3527769659752108
2012.03.15_01:00:00_TAI,11435,1471,1119931.75,1.064175e+21,1.250589,-6.871399,-23.628584,-26.98366,1675.313843,-2.8104050000000003,-25.306122000000002,0.0634089706555314,0.36289324277858603
2012.03.15_02:00:00_TAI,11435,1471,1144411.75,1.084458e+21,1.947596,-6.33377,-23.658566,-26.960665,1715.316772,-2.1930870000000002,-25.3096155,0.0646175351790413,0.371558361070366
