mag,da,alpha,a,R,N0,axf,xc,yc,alphab,sar,lead,flux,fluxp,fluxn,fint,lat,AR,spt,day
28.0,0.4437486505819221,0.3786443790941811,6.184145483723468,16.68820315675347,0.10897303224810354,7.688288485852406e+21,43.62102061553317,38.891570362736736,16.370506880403525,21.923563663969173,1,7.791049809521978e+21,8.508388499970221e+21,7.073711119073736e+21,0.9231690652684901,6,10132,1,2.0
29.0,0.43955470979709155,0.3717387095368526,6.132230921080915,16.68820315675347,0.10897303224810354,7.688288485852406e+21,43.33801996342554,38.82570737682497,17.00855965514833,21.953785404957536,1,8.085945696175589e+21,8.809613565555685e+21,7.362277826795492e+21,0.9581115655334498,6,10132,1,2.0
30.0,0.44013427747288325,0.383892870830196,6.12011460785325,16.68820315675347,0.10897303224810354,7.688288485852406e+21,43.28940851636267,38.97488350141047,18.226765250047347,22.365901097906878,1,8.12517795954718e+21,8.862063089572458e+21,7.388292829521903e+21,0.9627602345563142,6,10132,1,3.0
31.0,0.4361800740504757,0.388613237262979,6.085681049133734,16.68820315675347,0.10897303224810354,7.688288485852406e+21,43.20636181154221,38.89197018425097,19.255615491679094,22.158505077367508,1,8.244528591955908e+21,8.9950152311787e+21,7.494041952733115e+21,0.9769022070059459,6,10132,1,3.0
32.0,0.4266918161087574,0.3929987194877777,5.976345700162526,16.68820315675347,0.10897303224810354,7.688288485852406e+21,43.10177250922023,38.74060510075002,19.695560313146117,22.14523509678969,1,8.439461527294643e+21,9.212597618101208e+21,7.666325436488076e+21,1.0,6,10132,1,3.0
0.0,0.16583265606545258,0.23102903547408793,12.109902664221664,39.768717189004775,0.46107139600042013,1.1614249031773245e+22,66.09640540905757,48.36257043994951,0.805629479779902,44.31559811587822,-1,4.5958014425958874e+21,4.2701447578943027e+21,4.921458127297472e+21,0.24694517136874133,-7,10323,1,1.0
1.0,0.1692663777362551,0.229437537791428,12.326642040582733,39.768717189004775,0.46107139600042013,1.1614249031773245e+22,66.11344521038932,48.55065778602972,0.6774074032056856,44.712810643509776,-1,4.552703605052437e+21,4.237978342573579e+21,4.867428867531295e+21,0.24462940489999285,-7,10323,1,1.0
2.0,0.17327076809748787,0.21772407171995065,12.542013066190414,39.768717189004775,0.46107139600042013,1.1614249031773245e+22,66.18825986162487,48.53541385961896,0.32015582483698807,45.53602221717187,-1,4.566647565245435e+21,4.3069028207634216e+21,4.826392309727448e+21,0.24537865259540106,-7,10323,1,1.0
3.0,0.17678595553454254,0.21858514492856887,12.754634148693409,39.768717189004775,0.46107139600042013,1.1614249031773245e+22,66.21033521057319,48.70530690314566,0.9163155455489632,45.25479944451426,-1,4.5403918304272864e+21,4.290346142503083e+21,4.79043751835149e+21,0.24396785906677168,-7,10323,1,1.0
4.0,0.1800970112936708,0.22544402989692577,13.223838314875767,39.768717189004775,0.46107139600042013,1.1614249031773245e+22,66.78073532414355,48.9719853534515,1.083311879661428,46.08133331346796,-1,4.5355342688678655e+21,4.1925476710215094e+21,4.878520866714222e+21,0.24370684879757087,-7,10323,1,1.0
5.0,0.1845858970321511,0.2261259742929151,13.407171750673148,39.768717189004775,0.46107139600042013,1.1614249031773245e+22,66.44524009295294,49.19973832943257,0.8591741893887376,46.239014049628096,-1,4.5070891640898406e+21,4.2802751494024457e+21,4.733903178777236e+21,0.24217841434239487,-7,10323,1,1.0
6.0,0.18936239729540727,0.2247076953230068,13.551556619232153,39.768717189004775,0.46107139600042013,1.1614249031773245e+22,66.60297828156683,49.417503895419244,0.6067445012254203,46.16082068026273,-1,4.661270656118893e+21,4.402065046778853e+21,4.920476265458932e+21,0.25046301398112436,-7,10323,1,1.0
