AR,area,mfield,flux
9069,1.0014808815e+16,84.37386167317494,716716.9714775214
9070,1.001686947525e+16,59.39973053639276,729069.0147301321
9103,6892908536250000.0,54.76372296496641,365141.5434849765
9139,4069803993750000.0,36.82277502210552,288336.3370156689
9140,6606476761500000.0,68.52091029119491,385725.10642423003
9144,9734559021000000.0,76.06941587819225,531337.0950107169
9154,1.84429092375e+16,64.89338458961541,954061.6892105165
9170,1.028063398725e+16,54.483336430998406,380638.1711329117
9192,5559661354500000.0,43.321959478298965,210262.12107152026
9218,7092792580500000.0,42.817307355982315,508689.4628873896
9267,6177859429500000.0,54.04191969096661,450940.1773244401
9290,6620901383250000.0,28.116186604637015,224427.7206861144
9291,6532292992500000.0,39.958277125799505,311281.09975965973
9308,1.04557901085e+16,44.2558976958309,499840.01020045765
9311,8026271673750000.0,31.146427822249276,258359.17718058144
9368,8366280615000000.0,44.66658352772395,501240.6547936278
9396,8129304686250000.0,56.68407275759719,574612.5779955834
9399,5881124353500000.0,35.61072765515775,204603.4011665983
9417,5236137695250000.0,43.78123003921509,367353.0372211896
9432,1.01178418275e+16,50.465962726526094,470589.73351736646
9441,1.294712835075e+16,53.54201242483579,749055.4530558866
9455,1.0913256684e+16,37.91036536786416,552521.7501541215
9456,7443104823000000.0,33.83193395522442,288836.05959930306
9484,1.18323111555e+16,40.468504775940005,645445.3968167398
9511,5427779098500000.0,56.33509813575745,314469.1109758774
9512,8782533985500000.0,43.70535747517177,438208.4425199409
9531,5596753239000000.0,44.34898130014925,347026.74341673177
9548,5042435631750000.0,46.146105078315735,284374.3436612785
9563,9819046091250000.0,66.03433831143285,631433.3477374902
9569,5295896842500000.0,58.76727573598326,361046.10252301395
9574,9194666035500000.0,98.34341776049683,605341.6520796326
9660,6517868370750000.0,29.55895208325934,174901.49596052594
9678,1.242372064725e+16,88.28302919715642,946213.6571532171
9689,5483416925250000.0,63.636008934241076,322748.93623549305
9710,7999483090500000.0,45.795414487918215,354783.44292418286
9764,6513747050250000.0,59.30866174561838,465581.12210129225
9844,1.144696768875e+16,45.79844760461287,546256.5553070758
9845,7787235084750000.0,62.31768658161163,577106.9471170944
9873,5543176072500000.0,56.26489296632654,493536.50525833666
9880,8201427795000000.0,50.569477517217926,353681.27583977487
9884,4211989551000000.0,61.89260961034081,247826.36009043828
9897,3146628201750000.0,23.545337038329155,153034.3734159451
9906,9641829309750000.0,89.70098577409982,872044.8396005481
9910,6054219814500000.0,52.8465592095406,357513.3267436888
9912,8059242237750000.0,53.16428859972527,593225.9612367693
9931,4832248286250000.0,38.952974304786096,271819.9418845922
9978,5854335770250000.0,62.339098446829276,405279.2413687529
9987,9073087080750000.0,70.9018631404519,758775.687592081
10043,7970633847000000.0,40.395361055525555,470864.8379413411
10045,5872881712500000.0,52.2927584864554,376402.52785494714
10050,1.3707511983e+16,106.54326408716176,1257898.9699362058
10099,7469893406250000.0,55.55490541847967,248410.19971307646
10103,1.56610179e+16,76.6542576666673,947419.696499891
10130,4137805782000000.0,33.185536687157374,275072.00387146324
10132,4211989551000000.0,72.75319576081776,422015.3590471819
10137,7338011150250000.0,49.95796125245094,443642.4671321572
10144,5802819264000000.0,57.910413698196415,390322.400985586
10188,3983256263250000.0,51.95382335839733,258185.31578126125
10226,1.330568323425e+16,49.816157033303206,840468.218233116
10268,2895227651250000.0,54.27705401048731,208170.60963755194
10274,3655611283500000.0,41.366199931508106,198932.00467234757
10311,4269688038000000.0,35.44536691783157,269586.8266280476
10323,1.616587966125e+16,55.260632874455844,930019.5375245153
10344,6583809498750000.0,103.80982451438904,484935.92568750447
10349,1.5290099055e+16,130.77744996424076,1361856.5951975482
10381,7735718578500000.0,42.39581284259821,343410.9057839634
10385,5005343747250000.0,44.79879656624794,181719.6572188097
10391,6818724767250000.0,87.19331271971613,443475.9644565126
10456,8728956819000000.0,60.054649978876114,484707.5675576527
10547,7101035221500000.0,29.714709057482107,275605.58456521225
10569,7298858605500000.0,26.066532543317475,203606.92228495842
10747,1.0171418994e+16,35.42443379875228,390730.3999294443
10879,4679759427750000.0,20.951642993890065,154376.32343375683
10900,1.01508123915e+16,23.5161434075028,286796.5011862685
10971,3334148284500000.0,31.831932349722006,114610.01369291474
10987,5499902207250000.0,30.7906372017842,320430.61158541124
11007,4807520363250000.0,26.27823718453751,173418.20384682156
11024,7737779238750000.0,29.105443379004026,365599.1769173662
